step,reward_raw,reward_smooth
0,137.17144775390625,
1,135.2869415283203,
2,137.09677124023438,
3,132.88803100585938,
4,151.35202026367188,
5,133.76792907714844,
6,137.25827026367188,
7,139.91969299316406,
8,138.2757568359375,
9,142.724853515625,
10,137.2020721435547,
11,139.34080505371094,
12,161.22555541992188,
13,180.50936889648438,
14,139.24708557128906,
15,182.36143493652344,
16,153.21173095703125,
17,153.61306762695312,
18,169.49649047851562,
19,134.6983184814453,
20,133.13816833496094,
21,133.4573974609375,
22,144.65879821777344,
23,161.84268188476562,
24,166.5891571044922,
25,161.83233642578125,
26,139.42593383789062,
27,141.61802673339844,
28,173.34034729003906,
29,166.6751251220703,
30,166.47991943359375,
31,129.6575927734375,
32,136.9282684326172,
33,136.462646484375,
34,136.06365966796875,
35,139.60804748535156,
36,131.63613891601562,
37,139.1473846435547,
38,134.3373565673828,
39,137.82994079589844,
40,131.4566650390625,
41,153.94351196289062,
42,123.75826263427734,
43,138.93194580078125,
44,122.95677185058594,
45,139.9532012939453,
46,136.2188720703125,
47,133.75926208496094,
48,131.1497802734375,
49,127.86286163330078,143.74735412597659
50,131.36123657226562,143.63114990234376
51,167.91233825683594,144.2836578369141
52,129.31546020507812,144.12803161621093
53,130.97996520996094,144.08987030029297
54,134.76907348632812,143.7582113647461
55,164.4144744873047,144.3711422729492
56,165.34616088867188,144.9329000854492
57,132.32936096191406,144.78109344482422
58,132.7542266845703,144.67066284179685
59,131.4542999267578,144.44525177001952
60,129.03515625,144.28191345214844
61,128.55886840820312,144.0662747192383
62,163.81622314453125,144.11808807373046
63,151.2450714111328,143.5328021240234
64,143.10231018066406,143.60990661621094
65,167.77455139160156,143.31816894531252
66,139.5745849609375,143.04542602539064
67,134.66177368164062,142.6664001464844
68,135.8540802001953,141.99355194091797
69,134.11334228515625,141.98185241699218
70,137.57620239257812,142.07061309814455
71,138.428955078125,142.1700442504883
72,126.76148223876953,141.8120979309082
73,137.65696716308594,141.32838363647463
74,135.3511505126953,140.7036235046387
75,151.62164306640625,140.49940963745118
76,136.32530212402344,140.43739700317383
77,132.2230987548828,140.24949844360353
78,132.50909423828125,139.43287338256837
79,166.0075225830078,139.41952133178714
80,131.291259765625,138.71574813842776
81,131.05535888671875,138.74370346069338
82,132.52493286132812,138.65563674926761
83,131.92041015625,138.5647920227051
84,124.6629867553711,138.3367785644531
85,133.38766479492188,138.21237091064452
86,134.64207458496094,138.27248962402345
87,134.10372924804688,138.1716165161133
88,129.4038543701172,138.07294647216798
89,165.4085693359375,138.62451904296879
90,133.07179260253906,138.6568215942383
91,134.34754943847656,138.26490234375
92,156.17349243164062,138.9132069396973
93,135.62081909179688,138.8469844055176
94,135.04859924316406,139.08882095336915
95,133.9105224609375,138.96796737670897
96,135.91307067871094,138.96185134887696
97,134.95323181152344,138.98573074340823
98,133.66065979003906,139.03594833374024
99,135.9368133544922,139.19742736816406
100,136.22311401367188,139.29466491699216
101,130.89401245117188,138.5542984008789
102,136.4320068359375,138.6966293334961
103,134.2669219970703,138.76236846923828
104,145.80279541015625,138.98304290771486
105,134.9099884033203,138.3929531860352
106,131.01963806152344,137.7064227294922
107,131.23147583007812,137.6844650268555
108,130.18026733398438,137.63298583984377
109,168.146240234375,138.3668246459961
110,137.31373596191406,138.53239624023436
111,140.16156005859375,138.7644500732422
112,137.18309020996094,138.2317874145508
113,151.34059143066406,138.2336978149414
114,140.91116333007812,138.1898748779297
115,143.75962829589844,137.7095764160156
116,131.74949645996094,137.55307464599608
117,169.57762145996094,138.2513916015625
118,132.29795837402344,138.18026916503908
119,139.19386291503906,138.28187957763672
120,135.76490783691406,138.2456536865234
121,130.49346923828125,138.08694396972658
122,124.24762725830078,138.0366668701172
123,137.271240234375,138.02895233154297
124,138.02548217773438,138.08243896484376
125,148.58358764648438,138.02167785644534
126,138.53170776367188,138.06580596923828
127,170.02093505859375,138.8217626953125
128,137.7620086669922,138.92682098388673
129,136.19859313964844,138.33064239501954
130,142.08786010742188,138.54657440185548
131,134.67860412597656,138.61903930664062
132,141.6890106201172,138.80232086181638
133,142.2975616455078,139.00986389160155
134,139.98709106445312,139.31634597778321
135,129.58384704589844,139.24026962280274
136,142.58998107910156,139.39922775268553
137,140.3250732421875,139.52365463256837
138,141.76373291015625,139.77085220336917
139,174.93521118164062,139.96138504028323
140,173.40347290039062,140.76801864624025
141,133.4113006591797,140.74929367065428
142,166.24427795410156,140.95070938110348
143,131.07659912109375,140.85982498168946
144,133.47206115722656,140.82829421997073
145,164.81602478027344,141.44640426635743
146,147.30120849609375,141.6741670227051
147,142.494873046875,141.82499984741213
148,127.94528198242188,141.71069229125976
149,164.73956298828125,142.28674728393554
150,131.5222625732422,142.19273025512692
151,135.0265655517578,142.27538131713865
152,132.48782348632812,142.19649765014648
153,135.24607849121094,142.2160807800293
154,131.19627380371094,141.9239503479004
155,129.94509887695312,141.82465255737304
156,156.30381774902344,142.33033615112305
157,138.42037963867188,142.47411422729488
158,138.2757110595703,142.63602310180661
159,134.0986328125,141.95507095336916
160,136.4892578125,141.93858139038085
161,135.3832244873047,141.84301467895506
162,160.9442901611328,142.3182386779785
163,133.9512176513672,141.97045120239258
164,137.43336486816406,141.9008952331543
165,135.0760955810547,141.7272245788574
166,135.73040771484375,141.80684280395508
167,137.5873565673828,141.16703750610353
168,137.35647583007812,141.26820785522463
169,138.364990234375,141.25163040161135
170,134.96133422851562,141.23555892944336
171,138.07626342773438,141.38721481323245
172,135.74526977539062,141.6171676635742
173,137.68377685546875,141.6254183959961
174,136.51361083984375,141.5951809692383
175,134.96249389648438,141.32275909423828
176,138.60421752929688,141.3242092895508
177,136.7107391357422,140.65800537109376
178,135.39834594726562,140.61073211669924
179,136.68882751464844,140.62053680419925
180,138.1478271484375,140.5417361450195
181,137.64109802246094,140.6009860229492
182,133.7393035888672,140.4419918823242
183,136.51174926757812,140.32627563476564
184,154.34811401367188,140.61349609375
185,132.46664428710938,140.6711520385742
186,132.77662658691406,140.47488494873048
187,132.51744079589844,140.3187322998047
188,159.69049072265625,140.6772674560547
189,131.61648559570312,139.81089294433593
190,130.77569580078125,138.95833740234377
191,133.9115753173828,138.96834289550785
192,132.58450317382812,138.29514739990233
193,128.0220184326172,138.23405578613279
194,171.66702270507812,138.99795501708985
195,138.11509704589844,138.4639364624024
196,173.91567993164062,138.99622589111328
197,165.45223999023438,139.45537322998047
198,144.29458618164062,139.78235931396486
199,130.4083251953125,139.0957345581055
200,167.31004333496094,139.81149017333985
201,126.71925354003906,139.64534393310547
202,144.888916015625,139.89336578369142
203,113.6566390991211,139.4615769958496
204,130.65377807617188,139.45072708129882
205,133.65408325195312,139.52490676879884
206,152.71990966796875,139.4532286071777
207,133.68060302734375,139.35843307495114
208,135.78134155273438,139.30854568481445
209,162.91778564453125,139.88492874145507
210,135.71937561035156,139.8695310974121
211,127.00395202636719,139.70194564819332
212,135.06907653808594,139.1844413757324
213,134.22854614257812,139.18998794555662
